Speaker,Dialogue,Eng_Translation,Start_Time,End_Time,Sarcasm_Label,Audio_Clip,,,end_time
2 Police,"Bhogi babar bhite amader  elakar modhye pore 
na. Oi case amra nite parbo na, kotobar 
bolbo, ashun.","Bhogibaba's abode isn't under our area! How 
many times do I tell you we can't take the case. 
Go.",1:52:39,1:52:34,0,Audio0014.mpeg,,,
"Boyoshko lok
(Old man)","Tahole, borobabu ami ki korbo?",What do I do then sir?,1:52:33,1:52:31,0,Audio0015.mpeg,,,
2 Police,"Dekhun, sorkari chakri kori to,  beaini kaj to 
korte parbo na, tai na? ","Mine is a Government job.Can't do illegal things. 
Right?Go to some other police station. Go now.",1:52:30,1:52:25,1,Audio0016.mpeg,,,
3 Police ,"Are, badher epartai to amader area, ekta kalo 
nodor patha  thake na, tar eparta hochhe 
amader area, bujhlen?","This side of the dam is our area.There's a black 
goat tied there,its left leg is in our area.Got it?",1:52:24,1:52:18,1,Audio0017.mpeg,,,
"Boyoshko lok
(Old man)","Oi pathar eparei to royeche. Ekta ... borobabu, 
ekta bihet  korun, borobabu","It happened on the same side of the goat. Please 
do something sir.",1:52:17,1:52:13,0,Audio0018.mpeg,,,
3 Police,"Ei to, kalke amader thanar Rayer jonmodin chilo. 
Oi patha ketei to feast hoyeche. Ekhon bolun 
dekhi, jodi pathai na thake, tahole bujhbo ki
kore, tar epare hoyeche na opare. Haa....","It was Mr. Ray's birthday yesterday.We cut up 
that goat for the feast. Now tell me...the goat 
itself isn't there,how to tell which side it was?",1:52:12,1:52:02,1,Audio0019.mpeg,,,
Minister,"Ora aneke mile, amader atkanor cheshta korche 
karon, amra apnader unnotir jonno bhabchi, 
bujhechen? Ei j apnara eto bhalo achen, eto 
sukhe  achen, eto shantite achen, eshob 
oder poshachhe na. Apnader unnotir jonno, 
amaderk to jittei hobe, shei  karone agami 
nirbachone hyajak chinne amaderk bhot diye, 
amader  bipul bhote joye korun. Bujhlen 
kina? Prashanto...","They have all teamed up to stop us. Why?
Because we're thinking about your development.
The fact that you're happy,healthy and in peace..
they don't like it. But for your development... we 
must win.Hence, in the upcoming election make 
us victorious by voting on the Lantern logo.Got 
it? Proshanto.",1:51:59,1:51:32,1,Audio0020.mpeg,,,
"Prashanto, 
Jonogon
(Community)","Bashbo bhalo, jalbo alo, hyajak jalo, hyajak jalo..., 
Hyajak jalo, Hyajak jalo","We shall love, we shall light,light the lantern, light 
the lantern!, light the lantern, light the lantern!",1:51:31,1:51:26,0,Audio0021.mpeg,,,
"Prashanto and 
his group","Ei beer e haat dibi na bole dichhi, ekdom beer e 
haat dibi na ","Don't you dare touch my beer! Don't touch my 
beer!",1:50:59,1:50:56,0,Audio0022.mpeg,,,
Group,"Are, sala,  chamat maal to","Oh damn, what a total smokeshow!",1:50:53,1:50:49,1,Audio0023.mpeg,,,
Prashanto,Maaltak sayit kor,Take her aside.,1:50:44,1:50:43,1,Audio0024.mpeg,,,
Minister,"Dekhun, ami hoyeto spot e chilam na, kintu ami 
ekjon neta to, sob bujhte  pari. Bhai hoyeto 
meytak ektu ton titkani koreche, bachha chele. 
Bujhlen ki na?","See, I wasn't there on spot. But I'm a leader.I
 understand everything.Bhai must've said 
something naughty, he's just a kid. Got it?",1:50:31,1:50:23,1,Audio0025.mpeg,,,
"1 Bhodro lok 
(Good Person)","Bachha chele to titkani korle, kono
meyek hashapatale bhorti hote hoy na","A kid saying naughty things doesn't get a girl to a 
hospital.",1:50:22,1:50:19,1,Audio0026.mpeg,,,
"Haren (Girl's 
father)",O rastay amr meyek dhore...,He pulled aside my daughter from the road...,1:50:18,1:50:15,0,Audio0027.mpeg,,,
Minister,"Ei Prashanto, tui or meyek ki korechis?",What did you do with his daughter?,1:50:13,1:50:10,0,Audio0028.mpeg,,,
Prashanto,"Ami! Ami kichu korii ni, ami kichu jani na",Me?I didn't do anything.I don't know anything.,1:50:09,1:50:05,0,Audio0029.mpeg,,,
Minister,"Haa, tai to, o kichu janei na, chenei na. o amr 
bhai na, o meyeder bhishon  shroddha kore, o 
kichu kortei pare na","Correct! He doesn't know anything.My brother 
respects women a lot.He can't do anything.",1:50:04,1:49:59,1,Audio0030.mpeg,,,
"1 Bhodro lok
(Good person)","Tahole Haren jeta bolche seta bhul. Or
meye jeta bolche seetao bhul.","So what Haren says is wrong?And what his 
daughter says is wrong too.",1:49:59,1:49:57 AM,0,Audio0031.mpeg,,,
"Minister, 
Prashanto","Na na, bhul na, bhrom. Ki dekhte, ki  dekhche, ki 
bujhte, ki bujhche, bad den.  Jao","Not wrong. A mistake.She must have taken things 
in a wrong way. Forget it., Go",1:49:56,1:49:39,1,Audio0032.mpeg,,,
Minister,"Dekhen, ghore erokom bhoronto,  lokkhimonto 
ekta bou thakte, keu  bairer malir dike haat 
baray? Kali  jhuli makhe?","If he has such a sweet wife at home why would he 
grab at a road side girl and get stained?",1:49:38,1:49:32,1,Audio0033.mpeg,,,
"1 Bhodro lok
(Good person)","Dekhun, Ashim babu, bichar hobe bole apnar 
kache asha, noile etokhone  grambashira sobai 
mile oderk mere, pute dito","See Mr. Ashim...we've come to you for justice or 
else the villagers would've hammered and buried 
them into the ground!",1:49:31,1:49:24,0, Audio0034.mpeg,,,
Minister,"Bhai, bhai. Ki bollen, Amar bhai k putbe  bollen, to 
den pute den. Eikhane putbe tomr barir mati 
khure berabe. Roktobijer jhar, bujhlen ki na?","Brother brother.What did you say?Bury my brother?
Bury him then. Bury him here he'll come up inside 
your home.He is an undying monster! Got it?",1:49:17,1:49:00,1,Audio0035.mpeg,,,
"Prashanto's 
group","Chalun, chalun, chalun, egiye chalun. Hutt....",go go go get lost,1:48:56,1:48:53,0,Audio0036.mpeg,,,
"Mayna, 
Mayna's father","Teshottiti notun dhormaborter abirbhab  ghote. 
Tatkhonat... , Mayna, ne kheye ne, ar porte hobe na","Sixty three new religions. , Moyna, eat now.Enough 
studying.",1:48:47,1:48:42,0,Audio0037.mpeg,,,
Mayna,"Khachhi baba, age porate sesh kore ni.
Ekkhuni mastarda chole ashbe","Let me finish this. Master da will be here anytime 
now.",1:48:41,1:48:39,0,Audio0038.mpeg,,,
Mayna's father,Eki tumi? Tumi ekhane?,You? What are you doing here?,1:48:35,1:48:33,0,Audio0039.mpeg,,,
Prashanto,Bolechilam na ashbo. tai khure  elam ekebare,Told you I'll come. Came up your home.,1:48:33,1:48:31,1,Audio0040.mpeg,,,
Mayna's father,"Beriye jao, beriye jao ekhan theke",Get out at once!,1:48:30,1:49:29,0,Audio0041.mpeg,,,
Prashanto,"Ei... anek bolchili na. Prothome to  daktarer 
prescription","Too brave aren't you?A prescription for the over 
smart doctor!",1:48:28,1:48:22,1,Audio0042.mpeg,,,
"Mayna, Mayna's 
father","Baba... baba..., Ei or gaye haat dish na","My... my..., Hey don't touch her",1:48:21,1:48:18,0,Audio0043.mpeg,,,
Prashanto,"Kire, ebar theke bhalo kore raate shoya toya kor, 
ar ekta kotha mathay rekhe  de. Chotobela theke 
ekbar rape, ar mukh khulle dubar...","It is better you sleep around! And whenever you 
dare,remember this rape;and if you open your 
mouth,I'll rape you once again!",1:48:13,1:48:05,0,Audio0044.mpeg,,,
Mayna,Amar babak chere dao. , Leave my father,1:48:01,1:48:00,0,Audio0045.mpeg,,,
"1 Bhodro mohila
(Good person)","Ei...  ar ekbar or gaye haat de, dekh kemon dhor 
theke mathata alada kore di","Try touching her once!I'll cut your head from the 
body",1:47:59,1:47:54,0,Audio0046.mpeg,,,
"Prashanto, 
1 Bhodro mohila
(Good person)","He, he..., gola katbi? kat kat kat, Aahhh..... aahhh...","Ha ha.... cut my head? come come come, 
Aahhh..... aahhh...",1:47:53,1:47:50,1,Audio0047.mpeg,,,
"Barun Biswas
(Mastarda)","Sulekhar abostha bhalo na, ar ora  khoborta baire 
berote dichhe na, ar Dulalpurer pashe joydighite 
ajke ekta  barite dhuke ma-meye sobaike... 
Mayna kemon ache re?","Surekha is not out of danger.They're not letting the 
news out. At Jaidighi near Dulanpur another mother 
and daughter...How is Moyna now?",1:46:26,1:46:13,0,Audio0048.mpeg,,,
Durga,"Ora keu bhalo nei, Barun da. Ki hobe?",None of them are well Barun da. What will happen?,1:46:12,1:46:09,0,Audio0049.mpeg,,,
"Barun Biswas
(Mastarda)",Ki hobe ekhon setai to dekhar,what is going to happen is to be seen yet,1:46:08,1:46:07,0,Audio0050.mpeg,,,
Arun,"Ei... eto thanda golay kotha bolchish ki kore re? 
Amar to ichha korche shabol  tule niye eshe oder 
mathagulo guriye  dite ekebare","How can you keep your cool?Feel like thrashing 
their heads!",1:46/06 ,1:46:01,0,Audio0051.mpeg,,,
"Barun Biswas
(Mastarda), Arun","Tate ki labh hobe?, Mane?","How will that help?, As in?",1:46:01,1:46:00,0,Audio0052.mpeg,,,
"Barun Biswas
(Mastarda)","Chokher bodole ekbar chokh upre nite suru korle,
sara desh ta andho hoye  jabe. Amader anno 
rastay hatte hobe. Shabol to chaile amra jokhon
khushi  tokhon tule nite pari, kintu aj jodi ekbar
hate tule ni shabol, tahole kintu ar  konodino 
namate parbo na","An eye for an eye will make the entire nation blind.
We've to walk a different path.We can take up arms 
anytime.But there's no stopping once we do it.",1:45:59,1:45:47,0,Audio0053.mpeg,,,
Arun,"Dhatteri, ja ichhe bola ja",Oh please! Do whatever you want!,1:45:46,1:45:45,0,Audio0054.mpeg,,,
Nikhil,"Mastar, ar kotodin ebhabe sojyo kora jaye? Etodin 
ora rajneti koreche, smugling koreche, ekhon 
sekhane  theme nei, barir bhetor dhuke jachhe.
Ebar to ekta shothik protibad kora dorkar","Master, how much more can we endure? Till now 
they were doing smuggling and politics.Now they 
are getting into our houses.We need a proper 
revolt now!",1:45:44,1:45:35,0,Audio0055.mpeg,,,
"Barun Biswas
(Mastarda)","Protibader anek rokom bhasha hoy Nikhil. Ek 
violence  jate poshura biswas kore, ar dui 
non-violence  ahingshar pothe sotyoke tule dhora, 
jate manush biswas kore","Revolution has many languages Nikhil. One, 
violence.That animals believe in.And two, 
non-violence.Beholding the truth through 
non-violence.That humans believe in.",1:45:34,1:45:25,0,Audio0056.mpeg,,,
Arun,"Haa, ora tor kotha biswas kore ulte dichhe 
ekebare. Ore, tui j sohore porate jash na, 
eta sei kolkata noy, eta gram. Ekhane 
mastander samne kukre thakle dhore debe
ekebare. Mukher bhasha ekhane keu 
biswas kore na, haat chole haat","And they're believing you so much! Listen...This is 
not Kolkata, where you teach, this is a village.You 
can't give in to the goons here. Only violence 
speaks here.",1:45:24,1:45/13,1,Audio0057.mpeg,,,
"Barun Biswas
(Mastarda), Arun","Ke biswas kore ba na kore, tar jonno 
nijeder biswasta pale fela uchit hobe? 
Bhenge guriye to j keu protibad korte pare,
kintu amra korbo keno? Amra oder marer
samne dariye chokher dike chokh rekhe
protibad korbo, ar shei protibad korar jonnei
amader dorkar ekta moncher. Je moncho 
amra nijera toiri korbo, naam hobe 'Jagoron
Moncho'. Utthishoto jagoroto prappo bhora 
nobindhoto, otho, jago nijer prapyota bujhe
nao ar bakiderkeo bojhao, shanto..., Kintu...","Do we change our belief system because of what 
others believe?Anyone can revolt through violence!
But why should we?We shall stand against their 
violence and look right in their eye! And for that kind 
of a revolution we need a platform.A platform we will 
ourselves built! We will call it,'Platform of 
Awakening!'Get up! Wake up!Realise what you 
deserve! And make others realise too. A calm..., But...",1:45:12,1:44:32,1,Audio0058.mpeg,,,
"Barun Biswas
(Mastarda)","Athocho, driro protibader songe",stubborn revolution!,1:44:31,1:44:30,0,Audio0059.mpeg,,,
Durga,"Kintu, ora j keu bhalo nei, Barun da. 
Sulekha, Mayna....","But none of them are well Barun da. Surekha, 
Moyna...",1:44:29,1:44:26,0,Audio0060.mpeg,,,
"Barun Biswas
(Mastarda)","Bhalo to  amra keui nei, Durga. Tai na? 
Kintu eta to chokher jol felar somoy noy. Eta
somoy sei joltake agune porinoto korar. 
Chai aro protibad, chai lorai, kintu seta
amader nijeder moto kore. Cholo...","None of us are doing well, Durga. Right?But this is 
not the time to shed tears.This is the time to make 
fire out of those tears!We need to revolt,need to 
fight.But that, in our own way.Come on!",1:44:24,1:44:05,0,Audio0061.mpeg,,,
1 Police,"Ahare... kintu bhai ki kori bolun to, amar to
haat pa badha","How sad!But what do I do brother?My hands are 
tied up.",1:44:00,1:43:55,1,Audio0062.mpeg,,,
"Barun Biswas
(Mastarda)","Ki aschorjo, age to ekhankar somosto 
report ekhanei lekhano hoto","Strange! Earlier all reports from that area were 
filed here.",1:43:54,1:43:51,0,Audio0063.mpeg,,,
1 Police,"Are Ashim babu MLA, tini to ekhon abar 
notun aain pash koriyechen, ar shei aain 
anujae oisomosto elaka amar thanar under 
e nei","Mr. Ashim, the minister.He has passed a new law. 
According to that, those areas aren't under my
 police station.",1:43:50,1:43:42,0,Audio0064.mpeg,,,
"Barun Biswas
(Mastarda)","Kintu, apnara  ekta khoj to nite paren, naki?","But who can inquire, right?",1:43:41,1:43:40,0,Audio0065.mpeg,,,
1 Police,"Anno thanay jan na, ahare...,",Go to another police station. How sad.,1:43:39,1:43:34,1,Audio0066.mpeg,,,
2 Police ,"Bollam to, oi elaka amader thanar under e 
pore na. Ashun, jan...","Told you the area isn't under our police station. 
Now go!",1:43:32,1:43:29,0,Audio0067.mpeg,,,
"Barun Biswas
(Mastarda)","Kothay jabo? Seta bole din. Amra majh 
khane pore achi bole suffer korchi sobai mile.
Apni chokher samne dekhte pachhen to 
meyeta kotota koshto pachhe","Tell us where to go.We're suffering because we're 
stuck the middle.You can clearly see she is in much 
pain.",1:43:28,1:43:22,0,Audio0068.mpeg,,,
2 Police,"Are, koshto pachhe to ami ki korbo? Tobe apni jodi
bolen tahole oi elakata amader thanar under 
e kore dite pari","But what do I do? But if you want, could take that 
area under my police station.",1:43:21,1:43:15,1,Audio0069.mpeg,,,
Durga,"Lojja korche na apnader, lojja korche na, eke 
to amader sahajyo korte parchen na, tar opore
meyeder apoman korchen?","Aren't you ashamed?You can't help us anyway, now 
you're insulting women?",1:43:14,1:43:09,0,Audio0070.mpeg,,,
"2 Police, Barun 
Biswas
(Mastarda)","Are... apoman korlam kothay? Bolun to, tai na?
Thikache. Apnader jodi pochhono na hoy, 
tahole, ashun..., Chol...","When did I insult you? Fine,if you don't like it 
then... leave., Let's go...",1:43:08,1:43:01,0,Audio0071.mpeg,,,
3 Police,"Haa, sobi sunlum, bujhlum, kintu aj kichu kora 
jabe na. Karon aj thanar protistha dibosh, ar 
sarakhoni to chor dakat niye karbar, tai ajk ektu 
sobaik gather kore ektu hoichoi, furti, anondo...","I understand everything but nothing can happen 
today.Today is the Foundation Day of the police 
station.We're always dealing with criminals.So a get 
together today...a little fun, frolic and merry making 
you see.",1:42:57,1:42:44,1,Audio0072.mpeg,,,
Arun,"Haa tai korun, tai korun, sorkar to apnader 
gaanbajnar jonnyoi maine deye","Yes do that. That is what the Government is paying 
you for.",1:42:43,1:42:40,1,Audio0073.mpeg,,,
3 Police,"Ei, mukh buje kotha sune jachhi bole bhebo na j, 
matha kine niyecho. Jodi garode puure di na, 
bujhte parbe sorkar kno maine deye","Hey!Don't think you've bought us because we're 
keeping mum.Lock you up and you'll know why we 
get paid.",1:42:40,1:42:34,1,Audio0074.mpeg,,,
"Barun Biswas
(Mastarda)","Ami ekta kotha boli sir, apnader bariteo to ma bon
ache naki? Tarao to ei gramer rasta diyei cholafera
kore. Ora janoyar sir. Ora jokhon thaba boshay
tokhon, kintu bichar kore dekhe na je ekta 
rikshawchaloker meye, na ekjon thanar 
officer er meye","Let me say something sir.You've got women at home 
too.They use the same village roads.They're animals 
sir.When they attack they don't think if it a rickshaw 
puller's daughter or a police officer's.",1:42:33,1:42:21,0,Audio0075.mpeg,,,
3 Police ,"Dekhun, apnak dekhe amr buddhiman mone 
hochhe kintu, jodi eta hoyeo thake, amra kauk 
arrest korte parbo na. Karon, eta jekhane hoyeche
seta amader...","Look, you seem intelligent.But even if it has 
happened we can't arrest anyone.Because the 
crime spot-",1:42:19,1:42:11,0,Audio0076.mpeg,,,
"Barun Biswas
(Mastarda), 3 
Police, Ray","Apnader aoter moddhye pore na. Tai to?, Haa, ki 
Ray?, Buddhiman chele sir","Isn't under you? Right?, Yes, right Ray?, Intelligent boy 
sir.",1:42:10,1:42:06,1,Audio0077.mpeg,,,
3 Police ,"Ar ke koreche likhechen? Prashanto Mondol? Oma uni 
to kono thanar under ei poren na","And who have you accused? Proshanto Mondol? Oh 
him! He is not under any police station.",1:42:05,1:41:59,1,Audio0078.mpeg,,,
Prashanto,"Ke complain koreche amar name? Barun Biswas..
keliye nishash bondho kore debo...","Who has complained against me?Barun Biswas.I'll 
finish you, you swine!",1:41:57,1:41:49,0,Audio0079.mpeg,,,
Arun,Nishash ki tumi ekai bondho korte paro naki ayn?,You think you alone can do that?,1:41:48,1:41:47,1,Audio0080.mpeg,,,
"Prashanto, 
Sobai (Everyone)","Pinek, karo jodi  pinek hoy na, tar jonno prescription
amra hobo, meyeder jonno onno prescription, ektu 
beshibhalobashi to, ar cheleder jonno prescription ta 
alada. Batam tule..., Ei.....","There is a different prescription for threats.Different 
prescription for women, love them a lot! It is different 
for men too. I'll finish you..., Hey..",1:41:46,1:41:32,1,Audio0081.mpeg,,,
"Barun Biswas
(Mastarda)","Ghor theke jokhon beriyechi na amra complain ta 
korte, tokhon theke apnar batamer jonno amra 
sobai prostut. Ekhon dekhar etai j, kiser jor beshi? 
Apnader batamer, naki amader sojyo soktir","When we left home to file the complaint,we were 
prepared for your reaction.Now we need to see 
which one is stronger.Your wrath or our endurability.",1:41:31,1:41:22,0,Audio0082.mpeg,,,
Prashanto,"Keliye emon fatiye debo na, sob sojyosokti haowa 
hoye jabe",I'll thrash away your endurability in no time!,1:41:22,1:41:19,0,Audio0083.mpeg,,,
Durga,"Bhodro bhabe kotha bolun, Barun dar sathe ",Mind your language! In front of Barun da,1:41:19,1:41:17,0,Audio0084.mpeg,,,
Prashanto,"Ei sala, mamoni. Bhodrota jodi sekhabar hoy tahole 
ekdol loker samne sekhachhish kno? Amar ghore
ay...","Holy Cow!Little Miss Muffet!Why in public, come to 
my room to teach me the language!",1:41:17,1:41:10,1,Audio0085.mpeg,,,
Durga,"Ar ektao jodi, mukh theke kotha bar koro, tahole jibh
tene chire debo ekdom ",Speak another word and I'll tear off your tongue!,1:41:09,1:41:07,0,Audio0086.mpeg,,,
"Prashanto, 
Sobai (Everyone)","Ar ekta kotha bolle, tor jibh keno, tor jamakapor chire 
debo!, Ei... ei...","You speak a word and I'll tear off your clothes you 
bitch! Hey...Hey",1:41:06,1:41:04,0,Audio0087.mpeg,,,
3 Police,"Dada, please chere din, please chere din. Abar opor 
theke khisti korbe, jotoi hok thana to","Dada! Please leave it.I'll have to hear for this.Police 
station after all.",1:41:03,1:40:59,1,Audio0088.mpeg,,,
"Barun Biswas
(Mastarda), 
Friends ","Ja, bujhte parchi, apnara gayer jor, batam eshober
opor beshi biswas koren. Amra kori na, amra moner 
jore biswas kori. Dekha jak, ke jete, Ei... ei...","I realise you all are believers in physical strength 
and all that.We don't. We believe in the will power.
Let's see who wins., Hey... Hey...",1:40:58,1:40:45,0,Audio0089.mpeg,,,
"Barun Biswas
(Mastarda)","Keu egobe na, keu egobe na!",No one comes forward! No one!,1:40:44,1:40:43,0,Audio0090.mpeg,,,
Prashanto,"Sample, gayer jorer dilam",Gave you a sample of the physical strength.,1:40:39,1:40:36,0,Audio0091.mpeg,,,
"Barun Biswas
(Mastarda)","Nilam, moner jorer sample ta pore kokhono diye 
debo","Accepted.Will give you the sample of will power 
some other time.",1:40:35,1:40:33,1,Audio0092.mpeg,,,
Prashanto,Chol...,Come on.,1:40:25,1:40:24,0,Audio0093.mpeg,,,
"Barun Biswas
(Mastarda)","Apnara rehearsal korun. Ashi, chol. Nikhil, kal college 
street jaowar pothe chithita pouche dibi, jepite dibi 
taratari jabe","Continue with the rehearsal. Bye.Let's go. Nikhil, drop 
the letter on the way to College Street tomorrow.Send 
it through GPO,it'll go faster.",1:40:19,1:40:00,1,Audio0094.mpeg,,,
Nikhil,"Tor ki monehoy Mastar, ei chithi pathiye adou kono
labh hobe? Ageo to koto chithi pathiyechish, tate ki 
labh hoyeche?","What do you think Master? This letter will work? 
Earlier too you've sent letters. Any response?",1:39:58,1:39:53,0,Audio0095.mpeg,,,
"Barun Biswas
(Mastarda)","Aj hoyni, kal hobe. Kal hobe na, porshu hobe. Ekdin 
kichu hoyni bole, amra jodi haal chere dii tahole to, 
konodin kichu hobe na","The change will happen.Tomorrow, if not today.If we 
lose hope like this,nothing can happen ever.",1:39:53,1:39:48,0,Audio0096.mpeg,,,
Arun,"Konodin kichu hobe na. Ami toke bolchi shon, ora oi 
chithita pabe, chire fele debe. Tar theke chol amrai
giye oi janowar guloke chire fele diye ashi","Nothing will ever happen.Mark my words,they'll get 
the letter and tear it down.It is better we go tear 
those monsters down!",1:39:48,1:39:42,0,Audio0097.mpeg,,,
"Barun Biswas
(Mastarda)","Tate kon somoshyar somadhan hobe dada. Matha 
gorom kore kokhono kono somoshyar somadhan 
hoy na","Which problem will it solve? Anger can solve no 
problems.",1:39:42,1:39:38,0,Audio0098.mpeg,,,
"Nikhil, Arun","Dadar moto, amio tor kotha mante parlam na, Mastar.
Aj chor marlo sojjo korli, kal ghushi marbe tokhono 
sojjo korbi, tarpor matite fele pishe debe tokhono
sojjo korbi?, Korbe","Like Dada, I too don't support your ways Master.You 
endured his slap,then you'll endure his punches. 
They will smash you to the ground, endure that too?, 
He will",1:39:38,1:39:30,0,Audio0099.mpeg,,,
Durga,"Ebhabe kotodin cholbe Barunda, amra ki konodin 
kono somosyar somadhan korte parbo na?","How long like this?Won't we ever be able to solve 
any problem?",1:39:29,1:39:26,0,Audio00100.mpeg,,,
Kingshuk,"Na re Durga, Mastar kintu thik e bolche. Aloi kintu
andhokar kate, ar ekdin ei andhokar thik kete jabe","No Durga, Master is right. It is light that tears the 
darkness apart.And one day this darkness shall 
disappear for sure!",1:39:25,1:39:20,0,Audio00101.mpeg,,,
"Barun Biswas
(Mastarda), 
Kingshuk","Dara, dara, dara... tui ki bolli? Aloi andhokar kate, 
Keno, kate na?","Wait! What did you say? Light tears the darkness 
apart?, Doesn't it?",1:39:20,1:39:15,0,Audio00102.mpeg,,,
"Barun Biswas
(Mastarda)","Albaat kate, ekshobar kate, ar ekhane oi aloi hobe 
andhokar katar sutro. Ami aschi, kal naatmandire 
dekha hobe. Nikhil chithita pouche dish mone kore ","Of course it does!Sure! And this light shall be our 
weapon to cut through the dark. Bye. See you at the 
temple tomorrow. Nikhil, drop the letter.",1:39:14,1:39:06,0,Audio00103.mpeg,,,
"Arun, Nikhil, Arun","Aayy... ei...., Haa..., Bojho...","Come... Hey..., Yes..., understand...",1:39:06,1:39:01,0,Audio00104.mpeg,,,
"Barun Biswas
(Mastarda), 
Durga","Kire, sobai to bari chole gelo, tui jashni?, 
Jabo, abar chithi?","You? Everyone's left,why haven't you?, 
I will.Another letter?",1:38:48,1:38:40,0,Audio00105.mpeg,,,
"Barun Biswas
(Mastarda)","Kingshuk bollo sunli na, aloi andhokar kate. Amader 
grameo thik setai hobe","Like Kingshuk said, the light tears the dark away.
 That's what'll will happen here.",1:38:39,1:38:35,0,Audio00106.mpeg,,,
Durga,"Kintu, amader to age oder shasti pawanor kotha 
bhaba uchit, Barunda. Tar jonno ki ekhoni alo anar
dorkar ache?","But we should worry about punishing them first 
Barun da. Is there a need to bring light right now for 
that?",1:38:35,1:38:30,0,Audio00107.mpeg,,,
"Barun Biswas
(Mastarda)","Ekshobar dorkar. Ekta kotha sobsomoy mone rakhbi,
'A pen is always mightier than the sword', j kaj keu
korte pare na, seta kolom pare. Ektu bhebe dekh, 
amra jekhane sekahne gechi amader abhijog niye,
sobai pathorer murtir moto boshe thekeche, keu 
kichu koreni. Aj jodi, amader grame alo ashe tahole 
byaparta sobaik bhababe, sobaik nore chore boste 
baddhyo korbe. Bujhte parchish ami ki bolchi? Shon,
bojhar cheshta kor, Sudhu amra bhable hobe na, 
gramer manushder bhabate hobe. E grame alo ele 
gramer manushra sahosh pabe. Aloi hobe amader 
proti tader prothom bhasha. Bidyut ante parle sobai 
bujhet parbe j, ektu cheshta korlei anek kichu kora 
jaye, tar jonno montri haowar dorkar pore na, ekjon
manush hoye sot procheshta korte parlei sob 
sudhu hoy","Of course! Always keep one thing in mind.A pen is 
always mightier than the sword.Where nothing else 
works, a pen does.Think about it. Wherever we went 
with our problems they did nothing,sat still like 
statues.If light comes to our village, people will 
rethink. They are bound to take us more seriously. 
Do you get it?Listen, understand. Only us thinking 
about it won't do.We need the villagers to start 
thinking too.If light comes here, people will get some 
courage.Light will be our first step to a revolution!
Once electricity comes,people will know,a little effort 
can work wonders.It does not need a minister.All it 
needs is a human being's genuine effort.",1:38:29,1:37:44,0,Audio00108.mpeg,,,
