 ,Episode,Speaker,Dialogue,Eng_Translation,Start_Time,End_Time,Sarcasm_Label,Audio_Clip
,,"1 Dakaiot, 2 Dalkaiot","Sab yehi raho. thok denge idhaar hi, haa. ,
Kya hua?","Stay where u all are, oreslse we shoot y'all,
what happened?",0:21:59,0:21:51,0,AudioS20023.mpeg
,,1 Dakaiot ,"Abe sale police mein ph kar rehe hain, madarchod
ei bengal ka police humara jhat banayega , samjhe
kya? Sab mar jayega, koun bachayega? Chal chal
chal aa sab...","These idiots are calling the police. The Bengal police 
can't do anything to us, understand? Everyone will die 
— who will save them? Come on, move, get out!",0:22:51,0:21:36,0,AudioS20024.mpeg
,,"1 Constable, 
Ganesh, 
1 Constable, 
Ganesh, 
1 Constable","Are are koren ki sir? ,   Keno?,
Ei jong dhora bonduk ta loiya, dakatgo songe 
fighting?,   To?,  Fosh hoye gelei to gechi, sir","Hey, hey, what are you doing sir?,  why ?, 
With this rusty gun you're going to fight the robbers?,
so what?,  If I die, then I die, sir.",0:21:02,0:20:55,1,AudioS20025.mpeg
,,Ganesh,"Anek hoyeche rongbaji, ei bar dekh jong bahadur 
Ganesh er karsaji, namo..."," Enough of the drama. Now watch the bravery of 
Ganesh. Get down!",0:20:54,0:20:48,1,AudioS20026.mpeg
,,1 Dakaiot ,"Bhenchod, yeh police hain, maar use, maar maar","Damn it, it's the police! Shoot him! Shoot him!",0:20:44,0:20:29,0,AudioS20027.mpeg
,,Ganesh,"Ei, ekhono bolchi surrender kor. Sobkota ke guli 
kore marbo ami","I'm telling you again — surrender! Otherwise I'll 
shoot all of you.",0:20:17,0:20:13,0,AudioS20028.mpeg
,,1 Boy,"Eh baba, mamar to chakai ghore na. Are police 
na, aloor bosta, apnara dekhun bangla police er 
obostha","Oh god, my head is spinning. They're not police, 
they're like sacks of potatoes. Just look at the 
condition of the Bengal police.",0:20:06,0:20:01,1,AudioS20029.mpeg
,,Ganesh,"Eii, Ganesh.. Ganesh...",hey Ganesh ganesh ,0:19:31,0:19:27,0,AudioS20030.mpeg
,,Lady Reporter,"Abaro uttejona eibar ranaghat. Por por ekirokom
bhabe goynar showroom e dakati korlo, ekdol 
dushkriti. Pray panch koto takar goyna ebong cash
niye farar hoyeche dushkritir dol. Police er oporeo
choleche guli, dujon constable marattok bhabe 
jokhom hoye hospital e chikitsa cholche","Tension rises again in Ranaghat. A gang of 
criminals robbed a jewellery showroom in a similar 
fashion once again. Nearly five crore rupees worth 
of jewellery and cash were stolen. Shots were fired 
at the police as well, and two constables were 
seriously injured and are currently being treated in 
the hospital.",0:19:25,0:19:09,0,AudioS20031.mpeg
,,"Ganesh, 1 Dakaiot,
Ganesh","K toder matha bol?,  Netaji,  
K Netaji? Netaji k? K bol? Jibh kete chire fele debo","Tell me, who is your boss?,  Netaji,  Which Netaji?",0:19:09,0:19:02,0,AudioS20032.mpeg
,,"Lady Inspector,
1 Inspector,
Lady Inspector","Ei Netaji ta abar k?,
Ekhono amader kache kono information nei 
Madam,
Tomar kache kono information ache Geeta?","Whose this Netaji?,
We still don't have any information, Madam.,
Do you have any information, Geeta?",0:18:58,0:18:53,0,AudioS20033.mpeg
,,Inspector Geeta,"Sudhu Dakati noy Madam. Amra emon ekta racket
er songe deal korchi jara gota desh jure dakati 
ebong tar sathe arms dealing, women trafficking, 
organ harvesting, drug supply supary killing er 
moto oporadh korche... There are a lot of people
involved in this racket, Madam. And their latest 
target: Bengal","This is not just robbery, Madam. We are dealing 
with a large racket operating across the country — 
robberies, arms dealing, human trafficking, organ 
harvesting, drug supply, contract killings. Many 
people are involved in this network, and their 
latest target is Bengal.",0:18:50,0:18:32,0,AudioS20034.mpeg
,,"Lady Inspector,
Inspector Geeta","Amader fast move korte hobe. Ami ei case ta 
Special Crime Branch k forward korchi. Geeta, 
tumi team toiri korbe,
Yes, Madam...","We need to move fast. I am forwarding this case to 
the Special Crime Branch. Geeta, you will form the 
team.,
yes madam",0:18:30,0:18:21,0,AudioS20035.mpeg
,,Male Inspector,"Madam, Keora Dutta k anle kemon hoy? Na, 
Sundarban blast er ghotonar por oi volunteer 
retirement niye boshe gechen. Ei Barrackpore ei
onar poitrik bari okhanei thaken, ekhon oi...","Madam, what if we bring Keora Dutta? But after the 
Sundarban blast incident he took voluntary 
retirement. He now lives in his ancestral house in 
Barrackpore.",0:18:21,0:18:09,0,AudioS20036.mpeg
,,Inspector Geeta,"Sorry to interrupt, Madam. Amar monehoy j we all
are enough","Sorry to interrupt, Madam. I think we are enough to 
handle this.",0:18:09,0:18:06,0,AudioS20037.mpeg
,,Male Inspector,"Madam, Animesher keorami, uh, I mean, 
experience. Onar experience amader khub kaje
lagbe","Madam, Animesh's experience will be very useful 
for us",0:18:06,0:17:59,0,AudioS20038.mpeg
,,"Lady Inspector,
Male Inspector","Kintu onar wife to police dekhlei tere ashe,
Seto amar wife o tere ashe. Sorry, Madam","But his wife gets furious whenever she sees the 
police.,
My wife gets angry too. Sorry, Madam.",0:17:58,0:17:54,0,AudioS20039.mpeg
,,Lady Inspector,"Geeta, tumi. Headquarter theke purota oversee 
korbe. Animesh field e thakbe. Tumi Animesh er 
bari jao, kotha bole oke convince korbe. ","Geeta, you will oversee everything from 
headquarters. Animesh will be in the field. Go to 
his house and convince him.",0:17:51,0:17:43,0,AudioS20040.mpeg
,,Animesh,"Nomoshkar! Kobi bolechen, melaben tini melaben.
ami 'm' boli na 'g' boli, gelaben tini gelaben. Tai
sokal sokal Dutta babur bhater hotel e apnader 
gelate ami eshe gechi ami Animesh dutta, songe 
echorer guli kabab ebong markatari malaikari! Ha 
re recording hoyeche? E i Barun, are ei sarakhon 
phone e, dekh na recording hoyeche ki na?","Greetings! As the poet said, if it's meant to happen, 
it will happen. Whether I say ‘m’ or ‘g’, it will still 
happen! So early in the morning I’ve come to treat 
you all at Dutta Babu’s rice hotel. I am Animesh 
Dutta, bringing jackfruit kabab and deadly malai 
curry!",0:17:42,0:17:17,1,AudioS20041.mpeg
,,"Barun, Animesh,
Barun, Animesh,
Barun, Animesh","Oh, Baba! eta phone na eta tab, 
Oh, dekh to recording, Ha, recording hochhe to,
Stop, Huh?, Stop","Oh dad! That's not a phone, it's a tablet.,
Oh, check the recording, Yes, its recording,
stop, huh?, stop",0:17:17,0:17:10,0,AudioS20042.mpeg
,,Barun,"Oh, Baba! Amr anek kaj ache go. Samne quiz 
competition ache anek porte hoy","Oh dad! I have a lot of work. There's a quiz 
competition coming up and I have a lot to study.",0:17:08,0:17:02,0,AudioS20043.mpeg
,,Animesh,"Oh, ar baper kaj ta obohela?","Oh, so you’re neglecting your father’s work now?",0:17:02,0:17:01,1,AudioS20044.mpeg
,,Barun,"Eta tomar kaj barite boshe boshe ki korcho bolo to 
baba, department join koro na",This is your work? ,0:17:01,0:16:56,1,AudioS20045.mpeg
,,Animesh,"Jotdin department e chilam totdin kotha sonatish,
ekhon barite achi tao kotha sonachhish, tora j ki 
chash k jane!","When I was in the department you complained. 
Now that I'm home you still complain. What exactly 
do you people want!",0:16:56,0:16:51,1,AudioS20046.mpeg
,,Barun,"Ami chailei to ar hobe na baba, apnar ginni ja 
chaibe tai hobe","It's not up to me, dad. Whatever your wife wants 
will happen. ",0:16:51,0:16:44,1,AudioS20047.mpeg
,,"Inspector Geeta, 
Indrani, Animesh, 
Indrani","Animesh ache?, Animesh, keu dekha korte eseche , 
Customer! Sokkal sokkal lokkhi debir ashirbad. Oh, 
chorate bule gechi. hmm, fatafati gondho beriyeche. 
Sunrise sahi gorom masala rannay alada matra ene 
deye, Koigo?","Customer! Such great blessings from Goddess 
Lakshmi this morning. Oh, I forgot to sprinkle it. 
Hmm, what an amazing aroma. Sunrise pure 
garam masala adds a special touch to cooking.,
Where are you?",0:16:44,0:16:28,0,AudioS20048.mpeg
,,"Animesh,
Inspector Geeta","Jaigo...
Good Morning, Ma'am. Myself Animesh Dutta. Ar 
eita hochhe Dutta Babur bhater hotel er menu 
card. Na bhoy paben na. Items inside. Ta bolun? 
Home delivery? Special kono item. Na amra 
onnoprashon, bibaho, apnar shraddho, amar 
sraddho sob jaygay khabar delivery kori.,
Na ashole ami...","Where are you going… Good morning, Ma'am. 
Myself Animesh Dutta. And this is the menu card of 
Dutta Babu’s Rice Hotel. Don’t worry, the items are 
inside. So tell me — home delivery? Any special 
item? We also deliver food for rice ceremonies, 
weddings, even memorial feasts.  ,  
No actually I…",0:16:28,0:16:06,0,AudioS20049.mpeg
,,Animesh,"Hmm, bolte hobe na. Porishkar hindi taan, bangla
porte paren na, ami pore dichhi. Ei dekhun ha, 
Maarkatari malaikari! Aloo bomar dom kari! 
Dhoomdham dhokar dalna! Balmura dal, Sharp
shooter shukto...","Hmm, no need to say anything. Clear Hindi accent, 
you probably can’t read Bengali, so let me read it 
for you. Look here — Killer Malai Curry! 
Bomb-style Potato Curry! Grand Dhokar Dalna! 
Balmura Dal, Sharp Shooter Shukto…",0:16:06,0:15:52,0,AudioS20050.mpeg
,,"Inspector Geeta,
Animesh,
Inspector Geeta,
Animesh","Daran daran...,
Katakati aloo fiile...,
Apnar bujhte bhul hoyeche,
Miss kore gechi kichu? Na to...","Wait, wait…,
Cut-cut potato fillet…,
You’ve misunderstood.
Did I miss something? No, I don’t think so…",0:15:52,0:15:46,0,AudioS20051.mpeg
,,"Inspector Geeta,
Animesh","Na ami Customer noi. ADGP Geeta Bharadwaj.,
Madam","No, I’m not a customer. I am ADGP
Geeta Bharadwaj. ,  Madam.",0:15:45,0:15:42,0,AudioS20052.mpeg
,,Indrani,"Kigo kotha holo? Oma, ebhabe dariyeee acho 
keno? ","What happened? Oh my, why are you standing 
like that?",0:15:40,0:15:36,0,AudioS20053.mpeg
,,"Animesh,
Inspector Geeta","Arektu holei chup chap bhul chap hoye jeto. Police,
Ami bolar cheshta korechilam apnak","I almost ended up making a complete fool of 
myself. Police…,
I was trying to tell you…",0:15:33,0:15:29,1,AudioS20054.mpeg
,,Indrani,"Sunun, amar husband er apnader department er 
songe kono jogajog nei. Apni ekhon aste paren.","Listen, my husband has no connection with your 
department. You may leave now.",0:15:27,0:15:22,0,AudioS20055.mpeg
,,Animesh,"Umm, yes, Madam. Ami ekhon 'Bombay to Burma,
Dal bati churma'. Home delivery.","Umm, yes Madam. I am now delivering “Bombay to 
Burma, Dal Bati Churma.” Home delivery.",0:15:22,0:15:17,0,AudioS20056.mpeg
,,"Inspector Geeta,
Animesh,
Indrani, Animesh","But the department needs you, Animesh.,
Ha go, department needs me,
No!,  No","But the department needs you, Animesh.,
Yes dear, the department needs me.,
no!,  no",0:15:17,0:15:12,0,AudioS20057.mpeg
,,Indrani,"Kotobar bojhate hobe apnader ha? J amr husband 
er apnader department er songe kono somporko
nei. Aj obdhi to ber korte parlen na, j ashol blast ta
k koriyechilo?","How many times do I have to explain to you that 
my husband has no connection with your 
department? Till today you couldn’t even find out 
who actually carried out the blast.",0:15:12,0:15:01,0,AudioS20058.mpeg
,,Inspector Geeta,"Dekhun, file ekhono close hoy ni. Kichu kichu case
track korte somoy lege jaye","Look, the file is not closed yet. Some cases take 
time to track.",0:15:01,0:14:57,0,AudioS20059.mpeg
,,"Animesh,
Inspector Geeta,
Animesh","That's true,
Ar erokom boro racket er mathao boroi hobe, 
right?,
Etao sotti","That's true.
And the head of such a big racket would obviously 
be powerful, right?,
That’s also true.",0:14:57,0:14:52,0,AudioS20060.mpeg
,,Inspector Geeta,"Animesh. Ekta khub powerful dakater racket active
hoyeche Bengal e. Sudhu dakati noy, Arms dealing,
drugs, human trafficking eo oder involvement 
royeche. So we need you.","Animesh, a very powerful robbery racket has 
become active in Bengal. Not just robberies — 
they are involved in arms dealing, drugs, and 
human trafficking as well. So we need you.",0:14:49,0:14:39,0,AudioS20061.mpeg
,,Animesh,"Ha, tahole, Na taholeo. I'm sorry madam. Amr 
ekhon prothom duty, amar songsarer pichone 
somoy deowa. Tai na go?","Well… even if that’s the case… I’m sorry, Madam. 
My first duty now is to give time to my family. Isn’t 
that right?",0:14:39,0:14:30,0,AudioS20062.mpeg
,,Inspector Geeta,"I understand... Excuse me. Hello! Yes Madam. Yes. 
Yes. Yes Ma'am. Yes Ma'am. I'm sending the force
right now. ","I understand… Excuse me. Hello? Yes Madam. 
Yes. Yes Ma’am. I’m sending the force right now.",0:14:29,0:14:12,0,AudioS20063.mpeg
,,1 Reporter,"Abhi samay break ki hain, uske baad hoga khel ka 
samachar.","Right now we’ll take a short break, after which 
we’ll return with sports news.",0:13:53,0:13:51,0,AudioS20064.mpeg
,,2 Reporter,"Ajker chanchollokor ghotona, Barrackpore er BT 
Road er kache Sanjay Mondal name ekjon 
byabsayir garite chollo guli. Sanjay babu tar aat 
bochorer cheleke niye school theke bari niye 
firechilen. Thik shei somoy duti bike e chaarjon 
dushkriti eshe tader opor attack kore.","In today’s shocking incident, a businessman 
named Sanjay Mondal was shot near BT Road in 
Barrackpore. Sanjay was returning home after 
picking up his eight-year-old son from school when 
four criminals on two bikes attacked them.",0:13:46,0:13:24,0,AudioS20065.mpeg
,,"Indrani, Animesh","Koi go?, Jaigo...","Where are you?, I’m here…",0:13:24,0:13:22,0,AudioS20066.mpeg
,,Barrackpore,,Barrackpore.,0:13:20,0:13:15,N/A,N/A
,,1 Inspector,"Amader line e na eshob emotion thi moshan chole 
na. Bujhecho? Jao ei body duto baar korar 
bondobosto koro, dekhcho to bhir jome geche. 
Bhodromohilake giye bolo, ebar amader berote 
hobe. ","In our line of work, emotions don’t matter. Do you 
understand? Arrange to remove these two bodies. 
As you can see, a crowd has gathered. Go tell the 
lady that we have to leave now.",0:12:47,0:12:37,0,AudioS20067.mpeg
,,1 Girl ,"Yes, sir.
Didi. Didi, amader ebar berote hobe.","Yes sir. Sister, we have to leave now.",0:12:36,0:12:19,0,AudioS20068.mpeg
,,Everyone ,Nirjhar Singh! Zindabaad!,Nirihar Singh! Long live!,0:12:15,0:12:14,0,AudioS20069.mpeg
,,1 Inspector,Puro pichon mara gelo ebar agun jaliyei charbe ,"Now that everything is ruined, they will set 
everything on fire.",0:12:09,0:12:06,1,AudioS20070.mpeg
,,Minister,"Abey gandu abhi motion nehi, emotion chahiye","You idiots, this is not the time for motions — this 
is the time for emotions.",0:12:03,0:12:01,1,AudioS20071.mpeg
,,Reporters,"Sir, kichu bolun please. Sir, sir, sir...","Sir please say something. Sir, sir!",0:11:56,0:11:55,0,AudioS20072.mpeg
,,1 Reporter,"Ei muhurte amader songe achen Nirjhar Singh. 
Amra sune nebo uni ki bolchen. Sir please, apni ki
bolben. Ki bolben sir. Bolun sir. Yes sir","Right now we have Nirihar Singh with us. Let’s 
hear what he has to say. Sir, please tell us 
something.",0:11:47,0:11:37,0,AudioS20073.mpeg
,,Nirjhar Singh,"Ami ar ki bolbo... police to haate chuti pore boshe 
ache. Sanjay babu k kotodin dhore ei dakatra threat 
kore jachhe taka tolar jonne. Police ki kichui janto 
na? Ki holo? Ekta bachha k police er gafilotir daam
dite holo.  Are maal e marbi tobuo thikache. Sala,
jaan o mere dili! Mayer kol khali kore dibi! Or 
poribarer asu k puchbe? Agar marna hain to in 
Nirihar Singh er buke guli maar! Dekhi kon mai ka
laal achish! Sala nihotyar opore guli chalash! 
Darpok! Police k kaifiyat dite hobe! Prashashan k
kaifiyat dite hobe manusher kache! Amra er sesh 
dekhe charbo. Police na parle bole dik. Chobbish
ghonta, chobbish ghonta me ei dakatderk eikhane
fele rekhe debo. Sob thanda kore debo. Ek baat er
aadmi achi am Nirihar Singh amar naam! Ei 
banglar police... haye haye!","What can I even say? The police are sitting idle. 
Sanjay had been receiving threats from these 
criminals for money for days. Did the police know 
nothing? What happened? A child had to pay the 
price for the police’s negligence. Killing for money 
is one thing, but you even killed the child! You 
emptied a mother’s lap! Who will wipe the tears of 
that family? If you want to kill someone, shoot 
Nirihar Singh in the chest! Let me see who has the 
courage! Cowards! The police must answer for 
this. The administration must answer to the people. 
We will see this through till the end. If the police 
cannot do it, they should say so. Give me twenty-
four hours. I will bring these criminals here myself 
and finish them. I am a man of my word — Nirihar 
Singh is my name! Shame on the Bengal police!",0:11:36,0:10:35,0,AudioS20074.mpeg
,,Everyone ,Banglar police haye haye! haye haye!,Shame on the Bengal police! Shame!,0:10:33,0:10:31,0,AudioS20075.mpeg
,,"Indrani, Animesh","Shono na, Barun k dekhecho?,
Ki kore dekhbo sob to jhapsha!","Hey, have you seen Barun?,
How would I see? Everything is blurry.",0:10:16,0:10:12,1,AudioS20076.mpeg
,,Indrani,"Sobsomoy tomar ei careless attitude amar bhalo 
lage na, Animesh! Tokhon theke cheletake phone
korchi phone tulche na keno!","I don’t like this careless attitude of yours, Animesh. I’ve been calling him for so long — why isn’t he picking up?",0:10:12,0:10:07,0,AudioS20077.mpeg
,,Animesh,Oi.. bejeche!,Oh… it’s ringing!,0:10:05,0:10:04,0,AudioS20078.mpeg
,,"Indrani, Courier Man
, Indrani","Yes?, Madam, apnar delivery , Eta ki? ","Yes?, Madam, your delivery. , What is this?",0:09:59,0:09:53,0,AudioS20079.mpeg
,,Animesh,"Ah! Dekhecho! Ami careless hote pari kintu 
pyarless noi. Eta amar pyar er jonno. Taste and... 
bite! ","See! I may be careless, but I’m not loveless. This 
is for my love. Taste it… and bite!",0:09:52,0:09:44,1,AudioS20080.mpeg
,,Indrani,"Charo to! Sarakhon adikheta bhalo lage na! Jemon
baap tar temon chele! ","Oh stop it! I don’t like all this childish flirting. Like 
father, like son.",0:09:43,0:09:39,0,AudioS20081.mpeg
,,"Animesh, Indrani","To cheleto baper motoi hobe? , Ki?","Well of course the son will be like the father.,
What?",0:09:39,0:09:36,1,AudioS20082.mpeg
,,Animesh,"Phone Korchi. baper chele taratari fire ay, baba. 
Tulche na. Tulche na.","I’m calling him. Son of his father, come home quickly. 
He’s not picking up.",0:09:35,0:09:17,1,AudioS20083.mpeg
,,"Indrani, Animesh","Charo, ami korchi., Tai koro.","Leave it, I’ll call him., Yes, do it.",0:09:17,0:09:13,0,AudioS20084.mpeg
,,"1 Boy, Everyone ","Sanjoy Mondol ebong Gaink Mondol er 
hatyakarider obilombe shasti chai,
Shasti chai, shasti  chai!","We demand immediate punishment for the killers 
of Sanjoy Mondol and Gaink Mondol.,
We want punishment! We want punishment!",0:09:12,0:09:09,0,AudioS20085.mpeg
,,"Everyone, 1 Boy,
Everyone ","We want justice! We want justice! We want justice!,
Police tumi haye haye!, Haye haye! Haye haye!","We want justice! We want justice!,
Shame on the police!, Shame! Shame!",0:09:04,0:08:56,0,AudioS20086.mpeg
,,"Barun, 1 Boy, Barun,
1 Boy, Barun, 1 Boy,
Barun","Justice! We want..., Ei, dara dara dara, 
Keno? Ki hoyeche?,  Tor baba police na?, 
Age chilo. Ekhon retired hoye gechen., 
Tahole to thik hochh e na, Bro., Ki thik hochhe na?","Justice! We want…, Hey wait!, 
Why? What happened?, 
Isn’t your father a policeman?, 
He used to be. Now he’s retired., 
Then this isn’t right, bro.,  What isn’t right?",0:08:36,0:08:28,0,AudioS20087.mpeg
,,1 Boy,"Ei j, michile hatha. Ei protest ta to police er against 
e, government er against e. tor baba to government
er posha chakor chilo!","You marching in this protest. This protest is against 
the police and the government. Your father used to 
work for the government!",0:08:28,0:08:22,1,AudioS20088.mpeg
,,Barun,"Amar baba Police chilo bole ki ami ei michile hatte
parbo na? Amr ki protest korar kono odhikar nei?","Just because my father was a policeman does that 
mean I can’t march here? Don’t I have the right to 
protest?",0:08:22,0:08:17,0,AudioS20089.mpeg
,,1 Boy,"Father barite boshe, retirement er taka gunche ar 
tumi pseudo intellectual seje amader sathe 
biplobi hobe?","Your father sits at home counting his retirement 
money and you pretend to be a revolutionary 
intellectual with us?",0:08:16,0:08:11,0,AudioS20090.mpeg
,,Barun,How dare you! Ki bolte chaichish?,How dare you! What are you trying to say?,0:08:11,0:08:10,0,AudioS20091.mpeg
,,1 Boy ,"Thik e bolchi. Manush guli kheye morche, ar tor 
baba social media e boshe rannabaati khelche! 
Lojja kore na! Tor babak giye bol duty korte. Shame 
on you! Ja bhugg ekhan theke!","I’m telling the truth. People are getting shot and 
dying while your father sits at home playing chef on 
social media. Aren’t you ashamed? Tell your father 
to go do his duty. Shame on you! Get lost!",0:08:10,0:08:00,1,AudioS20092.mpeg
,,Everyone ,We want justice! We want justice! We want justice!,We want justice! We want justice!,0:07:59,0:07:54,0,AudioS20093.mpeg
,,Indrani,"Ei j, kothay chile? Phone ta dhorchhile na keno?
Huh? Ki holo? Barun... Barun... Barun! Ki bepar ta
ki? Uttor dichho na keno! Kothay giyechile? Bolo","Hey! Where were you? Why weren’t you answering
the phone? What happened? Barun… Barun… 
what’s going on? Why aren’t you answering me? 
Where did you go?",0:07:39,0:07:20,0,AudioS20094.mpeg
,,"Barun, Indrani","Michile gechilam, Michile?","I went to the protest march., To the protest?",0:07:19,0:07:16,0,AudioS20095.mpeg
,,Barun,"Haa. Sobai gechilo. Jei bachha cheleta khun 
hoyeche, se amader school ei porto, Ma.","Yes. Everyone went. The boy who was killed 
studied in our school, Mom.",0:07:15,0:07:10,0,AudioS20096.mpeg
,,"Indrani, Barun","O go suncho?, Baba sob jane. ","Hey, listen…, Dad knows everything.",0:07:08,0:07:06,0,AudioS20097.mpeg
,,Indrani,"Baba sob jane mane? Tomra ki bhebecho ta ki ha?
Baba ar chele mile amake boka banabe. Tomra ki 
bhabo? Tomra sobsomoy thik ar ami bhul?","What do you mean dad knows everything? What do 
you both think? Father and son will fool me 
together? You think you’re always right and I’m 
wrong?",0:07:03,0:06:53,0,AudioS20098.mpeg
,,Barun,Ha tumi bhul! Tumi jano ora amy ki boleche?,"Yes, you’re wrong! Do you know what they said to 
me?",0:06:53,0:06:50,0,AudioS20099.mpeg
